departure,arrival,vehicle,departureTick
Cannes,Paris,Peugeot e-208,2
Nancy,Toulouse,Tesla Model 3,0
Paris,Nice,Zoe,1
lyon,bordeaux,taycan,3
bordeaux,marseille,nissan leaf,5
strasbourg,montpellier,kia niro,2
nantes,rennes,peugeot e-2008,7
toulon,lyon,hyundai kona,4
bordeaux,toulouse,renault zoe,6
lille,marseille,audi q4 e-tron,10
angouleme,bordeaux,tesla model s,9
paris,montpellier,bmw i4,11
rennes,nantes,peugeot e-208,8
strasbourg,paris,volkswagen id.4,13
marseille,nice,Rolls-Royce Spectre,14
paris,lyon,peugeot e-2008,15
toulouse,bordeaux,Kia e-Soul,16
nice,marseille,smart eq fortwo,18
brest,nantes,fiat 500e,19
lyon,toulouse,hyundai ioniq,20
bordeaux,lyon,renault zoe,21
strasbourg,nice,tesla model x,24
nancy,metz,Opel Astra Electric,25
paris,nice,peugeot e-208,23
marseille,lyon,kia niro,26
lyon,nantes,audi e-tron gt,28
montpellier,perpignan,renault zoe,29
toulouse,bordeaux,tesla model s,30
lille,rennes,Audi SQ8,31
metz,paris,nissan leaf,32
paris,toulouse,peugeot e-208,34
barcelona,lyon,renault zoe,35
strasbourg,bordeaux,kia niro ev,36
toulouse,lyon,peugeot e-2008,37
nice,bordeaux,Lucid Air Grand Touring,38
lyon,marseille,porsche taycan,40
paris,nantes,Rolls-Royce Spectre,41
toulouse,perpignan,renault zoe,42
amsterdam,paris,smart eq fortwo,44
strasbourg,lyon,bmw i4,45
lyon,paris,renault zoe,47
dijon,lyon,ford mustang mach-e,48
toulouse,montpellier,volkswagen id.3,50
lyon,bordeaux,tesla model y,51
paris,marseille,renault zoe,53
nancy,strasbourg,peugeot e-208,54
bordeaux,lille,mazda mx-30,55
lyon,nice,fiat 500e,56
paris,bordeaux,renault zoe,57
strasbourg,nantes,bmw i4,58
marseille,toulouse,audi e-tron,60
lyon,paris,opel corsa-e,63
bordeaux,rennes,peugeot e-2008,64
paris,strasbourg,audi e-tron gt,65
nantes,brest,Rolls-Royce Spectre,67
strasbourg,toulouse,Ford Mustang,68
lyon,montpellier,kia e-soul,70
paris,london,peugeot e-208,71
toulouse,paris,volkswagen id.4,72
montpellier,bordeaux,fiat 500e,74
lyon,toulouse,porsche taycan,75
bordeaux,montpellier,renault zoe,77
strasbourg,lyon,tesla model 3,78
marseille,barcelona,peugeot e-2008,79
lyon,nantes,volvo xc40 recharge,80
paris,montpellier,bmw i4,81
nantes,strasbourg,fiat 500e,82
perpignan,montpellier,Rolls-Royce Spectre,84
lyon,bordeaux,kia niro,85
paris,nice,porsche taycan,87
toulouse,bordeaux,volkswagen id.3,89
lyon,monaco,nissan leaf,90
marseille,lyon,hyundai kona,92
bordeaux,paris,fiat 500e,93
strasbourg,toulouse,tesla model y,94
lyon,nice,peugeot e-208,95
nantes,paris,renault zoe,96
bordeaux,lyon,peugeot e-2008,97
